name,roaster,roast,loc_country,origin_1,origin_2,100g_USD,rating,review_date,desc_1,desc_2,desc_3
Thiriku AA Kenya,PT's Coffee Roasting,Medium,United States,Central Kenya,Sidama (Also Sidamo) Growing Region,7.2,95,November 2017,intense deep spicecomplicated sweetness black currant bakers chocolate peppercorn medley black sage a hint of lush lily in aroma and cup balanced and lively in structure sweetly tart with a savory edge plush silky mouthfeel chocolate moves forward in a resonant long lively finish,produced by the thiriku coffee growers cooperative society from trees of the sl sl and ruiru varieties of arabica processed by a particularly meticulous kenya variation on the traditional wet or washed method in which skin and fruit flesh are removed from the beans or seeds before they are dried aa is the highest grade of kenya coffee based on bean size and freedom from imperfections roasted at pts coffee where the motto is without the love its just coffee visit wwwptscoffeecom or call  for more information,mysterious and extraordinary in the kenya style simultaneously sweet savory tart and entirely and grandly vibrant
Ethiopia Natural Yirgacheffe Tore,Kakalove Cafe,Medium-Light,Taiwan,Tore Village,Yirgacheffe Growing Region,3.89,93,November 2017,deeply crisp lushly floral rose almond dark chocolate lime zest peppermint in aroma and cup tartly sweet with a clear savory edge in structure plump juicy mouthfeel finish is complex and resonant in the short consolidating around a fading lime and mint in the long ,southern ethiopia coffees like this one are produced from distinctive traditional ethiopian varieties of arabica long grown in the region like virtually all southern ethiopia coffees this coffee is produced by villagers on small garden plots interplanted with food and other subsistence crops processed by the dry or natural method meaning the beans were dried inside the fruit rather than after the fruit has been removed as is the case with wetprocessed or washed coffees kakalove caf is a nanoroaster located in the small city of chiayi in taiwan that strives to procure and roast the finest quality coffee visit wwwkakalovecafecomtw or email email protected for more information,an intense cup zesty but juicy alive with roselike flowers mint and lime
Direct Fair Trade Espresso,Level Ground Trading,Medium-Light,Canada,Africa,South America,2.82,92,November 2017,evaluated as espresso intrigungly complex balanced dark chocolate molasses cedar narcissus date in aroma and small cup satinysmooth body sweetly cocoatoned finish in three parts milk floral and cocoa tones lead in the short while hints of rich date resurface in the long,coffees in this blend are all fully wetprocessed or washed and certified organically grown in both canada and the us since  level ground trading has been an importer and roaster based in victoria canada focused on direct trade with smallscale producers in developing countries and on marketing their products throughout north america visit wwwlevelgroundcom or call  for more information,a solid espresso blend equally pleasing as a straight shot and in milk
Decaf Ethiopia Sidamo,Old Soul Co.,Medium,United States,Sidama (Also Sidamo) Growing Region,Southern Ethiopia,5.73,90,November 2017,surprising and melodic delicate yet vivid lilac and lemon blossom fresh sweet grass honey moist pipe tobacco freshcut elm in aroma and cup in structure subtly and sweetly tart very light silky mouthfeel unexpectedly rich and flavorsaturated in the finish pipe tobacco honey lemon blossom,southern ethiopia coffees like this one are produced from distinctive traditional ethiopian varieties of arabica long grown in the region this is a dryprocessed or natural version meaning the beans were dried inside the fruit rather than after the fruit has been removed as is the case with wetprocessed or washed coffees  decaffeinated at the descamex plant in mexico by the mountain water process which does not involve use of solvents old soul is a roastery bakery and crafter of artisanal goods dedicated to quality in every form visit wwwoldsoulcocom or call  for more information,this very lightroasted decaffeinated coffee may suggest a fine complex chinese black tea in some respects though it ultimately enforces its coffee identity with its tart structure and lightfooted authority oddly idiosyncratic in its aromatics but quite free of the disturbing wood notes characteristic of many decaffeinated coffees
Ethiopia Yirgacheffe Washed G1,A.R.C.,Medium-Light,Hong Kong,Yirgacheffe Growing Region,Southern Ethiopia,6.87,92,November 2017,delicate gently tart spicetoned pomegranate cocoa powder lemon blossom white peppercorn hazelnut in aroma and cup lively quietly complex structure crisp buoyant mouthfeel the finish leads with gently drying notes of hazelnut and white peppercorn in the short and segues to cocoatoned citrus blossoms in the long ,produced in yirgacheffe a coffee region in southern ethiopia that produces particularly distinctive coffees from traditional varieties of arabica long grown in the region yirgacheffe coffees like this one processed by the wet or washed method fruit skin and pulp are removed before drying typically express great aromatic complexity and intensity like virtually all yirgacheffe coffees this coffee is produced by villagers on small garden plots interplanted with food and other subsistence crops arc whose motto is more than specialty rigorously controls three vital elements sourcing of green coffee roasting and in cafe environments water quality for brewed coffee for more information visit httpwwwarccoffeeenindexhtml,a cup with a finetealike appeal in its subtle complexity and spicetoned presentation
Ethiopia Yirgacheffe Natural G1,A.R.C.,Medium-Light,Hong Kong,Yirgacheffe Growing Region,Southern Ethiopia,6.87,91,November 2017,rich sweettoned balanced nougat pink peppercorn lemongrass roasted cacao nib tea rose in aroma and cup floraltoned bittersweet structure delicate satiny mouthfeel notes of aromatic wood and spicetoned florals carry the gently drying finish,yirgacheffe is a coffee region in southern ethiopia that produces distinctive coffees from traditional varieties of arabica long grown in the region this is a natural or dryprocessed version meaning the beans were dried inside the fruit encouraging a flavor profile that is less predictable and deeper than the more familiar wetprocessed floral and citrustoned yirgacheffe profile like virtually all southern ethiopia coffees this coffee is produced by villagers on small garden plots interplanted with food and other subsistence crops arc whose motto is more than specialty rigorously controls three vital elements sourcing of green coffee roasting and in cafe environments water quality for brewed coffee for more information visit httpwwwarccoffeeenindexhtml,a crisply bittersweet cup that leads with spicy florals and sweet herb notes
“Fruity” Espresso Blend,A.R.C.,Medium-Light,Hong Kong,Ethiopia,Kenya,11.45,95,November 2017,evaluated as espresso subtle and enveloping richly sweettoned jasmine roasted cacao nib passionfruit sandalwood nougat in aroma and small cup  delicate silky mouthfeel cocoa and sandalwoodtoned finish with notes of passionfruit carrying into the long in three parts milk passionfruit and jasmine harmonize with cocoa and a pleasing aromatic wood,an espresso blend comprised of coffees from ethiopia kenya and the yunnan province of china arc whose motto is more than specialty rigorously controls three vital elements sourcing of green coffee roasting and in cafe environments water quality for brewed coffee for more information visit httpwwwarccoffeeenindexhtml,rich sweet elegant and cocoaladen this espresso blend is nougatlike in the straight shot and fruit and floraltoned in milk
Decaf Colombia Select,Bootstrap Coffee Roasters,Medium-Light,United States,Colombia,Ethiopia,4.41,87,November 2017,sweet delicate floral and woodtoned freshcut fir demerara sugar orange zest faint roselike flowers in aroma and cup gently bittersweet structure very lightly syrupy mouthfeel flavor consolidates but persists in a round sweettoned finish,produced from trees of the caturra and castillo varieties of arabica and decaffeinated at origin using ethyl acetate a natural solvent derived from sugar cane bootstrap is the definition of a quality dedicated nanoroaster with every bag carefully prepared by the roaster himself visit wwwbootstrapcoffeeroasterscom for more information,those who value a gently zesty sweetness should enjoy this delicate decaf cup easy on the palate easy on the nervous system
Ethiopia Awassa,Paradise Roasters,Medium-Light,United States,Yirgacheffe,Ethiopia,5.28,93,November 2017,crisply sweet multifaceted candied violet dark chocolate pungent juniper wood grapefruit zest mango in aroma and cup sweetly tart structure with juicy acidity satiny mouthfeel the resonant finish centers around mango and violet in the short and dark chocolate in the long with a hint of aromatic wood,southern ethiopia coffees like this one are produced from distinctive traditional ethiopian varieties of arabica long grown in the region like virtually all southern ethiopia coffees this coffee is produced by villagers on small garden plots interplanted with food and other subsistence crops processed by the wet or washed method fruit skin and pulp are removed before drying paradise roasters specializes in microlot arabica and robusta coffees from asia and other emerging origins the company prides itself on quality and freshness craftroasting coffees in small batches only after orders are placed visit wwwparadiseroasterscom or call  for more information,an engaging confident ethiopia cup with layered intrigue flowers fruit aromatic wood
100% Kona SL-28,Hula Daddy Kona Coffee,Medium-Light,Hawai'i,Holualoa,North Kona Growing District,33.05,97,November 2017,spectacularly sweet and hugely aromatic meyer lemon marmalade cedar pistachio guava jasmine in aroma and cup crisply sweettart and massively juicy in structure plush buoyant mouthfeel the juicy structure and complex aromatics persist in a long lingering finish   ,this exceptional coffee was selected as the no  coffee on coffee reviews list of the top  coffees of   hula daddy is a boutique coffee producer with farms at the  and  foot levels of the mount hualalai volcano near the northern end of the kona growing district five minutes above the town of kailuakona this coffee was produced entirely from trees of the distinguished sl variety of arabica the most celebrated of the bourbonderived tree varieties responsible for kenyas finest coffees this sl was grown at the higher elevation hula daddy farm and processed with the ferment step conducted dry no water added to the tank using a commercial yeast it is a limited edition coffee only available for sale through the allocation list on the hula daddy website visit wwwhuladaddycom or call  for more information,coffee simply doesnt get much better than this transcendently classic
Kenya Kirinyaga Mukangu AB,Kakalove Cafe,Medium-Light,Taiwan,Kirinyaga District,South-Central Kenya,4.6,95,November 2017,crisply sweetsavory lavender roasted cacao nib strawberry guava hazelnut toasted barley in aroma and cup sweetly floral structure with savory undertones crisp velvety mouthfeel the cocoatoned finish leads with spicy florals and tropical fruit in the short grounded by pleasing notes of toasted barley in the long,produced from trees of the admired sl and sl despite grower discontent and urban encroachment on prime coffee lands kenya continues to produce some of the worlds most elegant and distinctive coffees kakalove caf is a nanoroaster located in the small city of chiayi in taiwan that strives to procure and roast the finest quality coffee visit wwwkakalovecafecomtw or email email protected for more information,a kenya that covers all the bases sweettart fruit savory depth spicy florals and cocoa
Kenya Nyeri Othaya Gatugi Red Cherry Project AA,Jackrabbit Java,Medium-Dark,United States,Nyeri Growing Region,South-Central Kenya,5.29,92,November 2017,sweetly pungent gently roasty scorched cedar dark chocolate plum lavender lime zest in aroma and cup complex in structure sweetly tart with a roasty savory depth light satiny mouthfeel lemon zest dark chocolate plum carry into a rich though drying finish,despite grower discontent and urban encroachment on prime coffee lands kenya continues to produce some of the worlds most elegant and distinctive coffees this coffee is the result of a partnership between the othaya and aguthi cooperatives and royal coffee intended to create a methodology for isolating and enhancing the highest quality coffees coming from these cooperatives produced from trees of the sl sl ruiru  and batian varieties of arabica aa is the highest grade of kenya coffee based on bean size and freedom from physical imperfections jackrabbit java selects the finest coffees from around the world and roasts them in thermopolis wyomings mountain air all jackrabbit java coffees are specialtygrade and roasted to order visit wwwjackrabbitjavacom for more information,a darker roast develops a savorytoned chocolate to complement a zesty citrus in this pleasingly contradictory kenya
Ethiopia Washed Yirgacheffe Adado,Kakalove Cafe,Medium-Light,Taiwan,Yirgacheffe Growing Region,Southern Ethiopia,3.89,95,November 2017,elegant deep sweetly savory jasmine sandalwood plum nutellalike nut and cocoa tangerine zest in aroma and cup hightoned balanced structure with citrusy acidity syrupysmooth mouthfeel the finish is long resonant and flavorsaturated carrying through on the promise of the cup,southern ethiopia coffees like this one are produced from distinctive traditional ethiopian varieties of arabica long grown in the region like virtually all southern ethiopia coffees this coffee is produced by villagers on small garden plots interplanted with food and other subsistence crops processed by the wet or washed method fruit skin and pulp are removed before drying kakalove caf is a nanoroaster located in the small city of chiayi in taiwan that strives to procure and roast the finest quality coffee visit wwwkakalovecafecomtw or email email protected for more information,a bright lively juicy washed yirgacheffe coffee classic in structure and style
Outbound Espresso,Propeller Coffee,Medium-Light,Canada,Mexico,Ethiopia,3.98,93,November 2017,evaluated as espresso balanced deeply and sweetly pungent honeysuckle cashew bakers chocolate cedar caramel in aroma and small cup satiny mouthfeel crisp resonant finish that leads with bakers chocolate in the short rounding to nuttoned florals in the long in threeparts milk full and expressive of cashew butter bakers chocolate and honeysuckle ,a blend of coffees from mexico ethiopia and brazil propeller is a torontobased microroaster with a dedication to careful selection and exceptional craft roasting of highend coffees visit wwwpropellercoffeecom or call  for more information,an espresso blend that offers both hightoned florals and lowtoned nut and chocolate notes integrated by a consistent caramel throughline
Ace Espresso,Propeller Coffee,Medium-Light,Canada,Mexico,Ethiopia,3.98,94,November 2017,evaluated as espresso floraltoned lively black currant narcissus sandalwood roasted cacao nib molasses in aroma and small cup syrupy buoyant mouthfeel gently drying flavorsaturated finish centered around notes of black currant and narcissus in three parts milk centered on narcissuslike florals with cocoa tones and black currant just underneath with hints of sandalwood resurfacing as well,a blend of coffees from mexico and ethiopia propeller is a torontobased microroaster with a dedication to careful selection and exceptional craft roasting of highend coffees visit wwwpropellercoffeecom or call  for more information,a floraltoned richly sweet espresso blend balanced flavorladen driven by notes of narcissuslike flowers
Kenya Mutungati,Propeller Coffee,Medium-Light,Canada,Nakuru Province,South-Central Kenya,4.65,94,November 2017,bright richly sweet complex red currant lilac dark chocolate lime zest redwood in aroma and cup sweetly savory in structure with juicy acidity plush syrupy mouthfeel the balanced finish is resonant with notes of red currant and dark chocolate with hints of lime zest ,produced by farmers of the mutungati cooperative from trees of the sl sl and ruiru  varieties of arabica despite grower discontent and urban encroachment on prime coffee lands kenya continues to produce some of the worlds most elegant and distinctive coffees propeller is a torontobased microroaster with a dedication to careful selection and exceptional craft roasting of highend coffees visit wwwpropellercoffeecom or call  for more information,a vibrant fruit and chocolatetoned kenya coffee with an exciting hint of lime zest throughout the profile
Guatemala El Retiro del Quisaya,Chocolate Fish Coffee Roasters,Light,United States,San Martin Jilotepeque,Chimaltenango Department,5.58,93,November 2017,delicately sweet and balanced with a subtle hint of fermented fruit peach sweet chocolate sandalwood honeysuckle almond in aroma and cup gently and sweetly bright in structure light yet satiny in mouthfeel quiet but resonantly long finish peach chocolate almond,produced by juan luis barrios ortega from trees of the bourbonderived pache variety of arabica processed by the dry or natural method meaning the beans were dried inside the fruit rather than after the fruit has been removed as is the case with wetprocessed or washed coffees chocolate fish is a distinguished newzealandinspired microroaster based in sacramento california focused on the best in both quality and integrityvisit wwwchocolatefishcoffeecom or call  for more information,delicate and graceful yet authoritative in character seductively sweet
Kenya Peaberry Kericho County,Caffe Luxxe,Medium-Light,United States,Kericho County,Kenya,5.88,92,November 2017,sweetly pungent lightly savory unusual aromatics floraltoned honey plum musk a hint of coriander in aroma and cup crisply sweet savoryedged structure lightly syrupy mouthfeel dry and gently flavorsaturated in the finish,produced from trees of the sl sl and ruiru  varieties of arabica and processed by the wet or washed method in which skin and fruit flesh are removed from the beans or seeds before they are dried this sample consists entirely of peaberries a kind of bean that results when the coffee fruit develops only a single oval bean rather than the usual pair of flatsided beans peaberries produce a somewhat different often better cup than normal beans from the same crop from which they may or may not be separated during grading despite grower discontent and urban encroachment on prime coffee lands kenya continues to produce some of the worlds most elegant and distinctive coffees caff luxxe is an italianinflected artisan roaster and retailer that emphasizes both its coffee knowledge and precision and its straightforward lack of pretension visit wwwcaffeluxxecom or call  for more information,an unorthodox but original and engaging variation on the kenya cup juxtaposing sweetness and a musky herbysavory edge
Static El Salvador Finca Maria Luisa,Espresso Republic,Medium-Light,United States,Santa Rosa,La Unión Department,3.5,89,November 2017,brisk and subtly layered almond butter dried apricot freshcut fir hints of dark chocolate and clover in aroma and cup sweetly brisk and dry in structure lightly syrupy mouthfeel the drying structure sweetens and smoothes a bit in the finish and chocolate and cloverlike flowers move forward,processed by the wet or washed method in which skin and fruit flesh are removed from the beans or seeds before they are dried espresso republic founded in  specializes in sourcing quality coffees and roasting them in small batches for both retail and wholesale customers visit wwwespressorepubliccom for more information,those who value brisk dry beverages should enjoy this coffee and its quiet unorthodox aromatic intrigue
Kamwangi Kenya,Lexington Coffee Roasters,Medium-Light,United States,Gichugu Division,Kirinyaga County,5.86,93,November 2017,deeply and pungently sweettart lavender grapefruit zest sandalwood blackberry a hint of bakers chocolate in aroma and cup simultaneously brightly tart and deeply savory in structure lightly syrupy plush mouthfeel grapefruit zest and blackberry carry into a crisply resonant finish,produced by the smallholders of the new ngariama farmers cooperative society from trees of the sl sl and ruiru  varieties of arabica processed at kamwangi washing station by the particularly meticulous kenya variation on the traditional wet or washed method in which skin and fruit flesh are removed from the beans or seeds before they are dried founded in  lexington coffee is an awardwinning artisan roasting company based in virginia lexingtons focus on fresh flavorful and sustainable coffee is reflected in its motto fresh flavorful  fair visit wwwlexingtoncoffeecom or call  for more information,resonantly pungent kenya particularly attractive for its structure sweet tart and savory all at once zesty yet seductive holds its character superbly as it cools
Ethiopia Gelana Abaya,Big Creek Coffee Roasters,Medium-Light,United States,Yirgacheffe Growing Region,Southern Ethiopia,4.41,92,November 2017,sweet spicetoned pungent hazelnut cocoa ripe cantaloupe tangerine zest a hint of cinnamon in aroma and cup complexly structured very sweet gently tart slightly bitterish syrupy and full in mouthfeel cocoa and tangerine carry into a deep long finish,southern ethiopia coffees like this one are produced from distinctive traditional ethiopian varieties of arabica long grown in the region like virtually all southern ethiopia coffees this coffee is produced by villagers on small garden plots interplanted with food and other subsistence crops this is a dryprocessed or natural coffee meaning the beans were dried inside the fruit rather than after the fruit has been removed as is the case with wetprocessed or washed coffees big creek coffee roasters is a small qualityoriented batch roaster located in montanas bitterroot valley visit wwwbigcreekcoffeeroasterscom or call  for more information,spicysweet autumnal profile complex and grownup
Ethiopia Bishan Fugu,Noble Coffee Roasting,Light,United States,Hambela District,Guji Zone,5.58,93,November 2017,delicate sweetly tart strawberry caramel musk cocoa butter magnolia in aroma and cup quietly tartleaning structure with sweet undertones plush syrupy body the perfumy almost musklike finish is characterized by tart fruit notes in the short and cocoa butter in the long,this coffee tied for the secondhighest rating in a tasting of  organiccertified coffees from africa for coffee reviews november  tasting report produced by the metad farm and mill in southern ethiopia southern ethiopia produces distinctive coffees from traditional varieties of arabica long grown in the region this is a natural or dryprocessed version meaning the beans were dried inside the fruit rather than after the fruit has been removed as is the case with wetprocessed or washed coffees certified usda organic based in southern oregon noble coffee is a wholesale and retail roasting company focused on quality social responsibility and environmental consciousness visit wwwnoblecoffeeroastingcom or call  for more information,a richly elegant cup that leads with deep fruit notes as do many natural processed coffees though here the fruit is complicated by an engaging musklike intrigue
Sustainable Harvest Homacho Waeno Natural,Red E Café,Light,United States,Aleta Wondo,Sidama (Also Sidamo) Growing Region,4.7,93,November 2017,deeply and richly sweetsavory orange marmalade pipe tobacco dried fig dark chocolate freesialike flowers in aroma and cup bright sweetlytart in structure with zesty acidity delicately satiny mouthfeel notes of richly savory pipe tobacco lead in the finish paired with dried fig in the short and orange marmalade in the long,this coffee tied for the secondhighest rating in a tasting of  organiccertified coffees from africa for coffee reviews november  tasting report southern ethiopia coffees like this one are produced from distinctive traditional ethiopian varieties of arabica long grown in the region like virtually all southern ethiopia coffees this coffee is produced by villagers on small garden plots interplanted with food and other subsistence crops this is a dryprocessed or natural coffee meaning the beans were dried inside the fruit rather than after the fruit has been removed as is the case with wetprocessed or washed coffees red e cafe is a popular caf  and roastery in portland oregon for more information visitwwwtheredecafecom,a naturalprocessed ethiopia coffee of intriguing depth with a wide range of aromaflavor notes savory pipe tobacco to hightoned spicy florals to crisply sweet citrus marmalade
Ethiopia Amaro Gayo Natural,Ben's Beans,Medium-Light,United States,Yirgacheffe Growing Region,Southern Ethiopia,4.98,92,November 2017,deeply sweet fruit and cocoatoned bakers chocolate dried coconut tea rose almond cedar in aroma and cup fruittoned structure with round gentle acidity crisp though syrupy mouthfeel the spicetoned finish suggests homemade fruitcake with notes of dried fruit nuts and warming spices ,this coffee tied for the thirdhighest rating in a tasting of  organiccertified coffees from africa for coffee reviews november  tasting report yirgacheffe is a coffee region in southern ethiopia that produces distinctive coffees from traditional varieties of arabica long grown in the region this is a natural or dryprocessed version meaning the beans were dried inside the fruit encouraging a flavor profile that is less predictable and deeper than the more familiar wetprocessed floral and citrustoned yirgacheffe profile like virtually all southern ethiopia coffees this coffee is produced by villagers on small garden plots interplanted with food and other subsistence crops certified usda organic named after the cofounders son ben bens beans prides itself on ethical sourcing as well as in donating a portion of proceeds to charities in the coffeeproducing regions they work with visit wwwbensbeansorg for more information,the overall impression of this naturalprocessed yirgacheffe cup is equal parts dried fruit and chocolate nicely elaborated by spice suggestions cinnamon clove nutmeg
